Iteration,Time (s),Temperature,O2,H2O,CH4,CO,CO2,N2
1.000000000000000000e+00,8.000000000000000167e-08,1.400273353596345032e+03,1.900810657896832845e-01,4.115506088192381217e-05,9.503549983451611838e-02,2.013224130189659192e-05,4.452891390484957456e-07,7.148217017844777921e-01
2.000000000000000000e+00,1.600000000000000033e-07,1.400553416201559003e+03,1.900476378620016560e-01,8.240304036135630999e-05,9.501395799832126898e-02,3.944373071798847237e-05,1.757789462637635629e-06,7.148147995791351850e-01
3.000000000000000000e+00,2.400000000000000315e-07,1.400839972565671133e+03,1.900137963154572562e-01,1.237465339226641011e-04,9.499240574132739034e-02,5.796966560473502483e-05,3.903601356240595934e-06,7.148081781423317738e-01
4.000000000000000000e+00,3.200000000000000067e-07,1.401132810106917304e+03,1.899795522628239253e-01,1.651880688270641699e-04,9.497084019896072371e-02,7.574372980475136362e-05,6.850304608542355266e-06,7.148018254349749467e-01
5.000000000000000000e+00,3.999999999999999819e-07,1.401431725780400939e+03,1.899449162963323390e-01,2.067301075625660261e-04,9.494925860773334447e-02,9.279816173105252927e-05,1.056689204997597577e-05,7.147957299345906179e-01
6.000000000000000000e+00,4.799999999999999571e-07,1.401736525657484890e+03,1.899098985105633908e-01,2.483750511243198989e-04,9.492765830053079279e-02,1.091638190033563700e-04,1.502370655855910031e-05,7.147898806122195969e-01
7.000000000000000000e+00,5.599999999999999323e-07,1.402047024525324787e+03,1.898745085242311559e-01,2.901252421399536682e-04,9.490603670212585663e-02,1.248702399586389664e-04,2.019238111109250593e-05,7.147842669104332858e-01
8.000000000000000000e+00,6.399999999999999075e-07,1.402363045505540867e+03,1.898387555009171113e-01,3.319829678494956777e-04,9.488439132490540662e-02,1.399457022123454979e-04,2.604578171215555282e-05,7.147788787224034213e-01
9.000000000000000000e+00,7.199999999999998827e-07,1.402684419691325274e+03,1.898026481687887512e-01,3.739504629447651060e-04,9.486271976480296908e-02,1.544172783653527772e-04,3.255795310678453607e-05,7.147737063719913353e-01
1.000000000000000000e+01,7.999999999999998579e-07,1.403010985801668539e+03,1.897661948393787601e-01,4.160299122788446409e-04,9.484101969742184113e-02,1.683108890699139281e-04,3.970406706926218356e-05,7.147687405947813488e-01
1.100000000000000000e+01,8.799999999999998331e-07,1.403342589852055198e+03,1.897294034254602413e-01,4.582234534508830234e-04,9.481928887434128150e-02,1.816513535550729808e-04,4.746037317012384674e-05,7.147639725200223282e-01
1.200000000000000000e+01,9.599999999999999142e-07,1.403679084840599444e+03,1.896922814580747074e-01,5.005331792742657342e-04,9.479752511959416150e-02,1.944624377724777828e-04,5.580415186441292771e-05,7.147593936534200054e-01
1.300000000000000000e+01,1.039999999999999995e-06,1.404020330447852757e+03,1.896548361028101981e-01,5.429611401412715336e-04,9.477572632629650828e-02,2.067669004340460289e-04,6.471366963634824540e-05,7.147549958606815856e-01
1.400000000000000000e+01,1.120000000000000076e-06,1.404366192752247798e+03,1.896170741752246369e-01,5.855093462711421929e-04,9.475389045344939642e-02,2.185865366514406767e-04,7.416813648388872397e-05,7.147507713519196670e-01
1.500000000000000000e+01,1.200000000000000157e-06,1.404716543958013744e+03,1.895790021555814886e-01,6.281797698637838108e-04,9.473201552287963123e-02,2.299422196442608567e-04,8.414766528738940716e-05,7.147467126667433890e-01
1.600000000000000000e+01,1.280000000000000239e-06,1.405071262134762037e+03,1.895406262029527555e-01,6.709743471665938295e-04,9.471009961630874607e-02,2.408539406703632103e-04,9.463323291269221192e-05,7.147428126599888465e-01
1.700000000000000000e+01,1.360000000000000320e-06,1.405430230969784361e+03,1.895019521686196196e-01,7.138949804459492196e-04,9.468814087256270662e-02,2.513408469882315202e-04,1.056066432345014345e-04,7.147390644881489452e-01
1.800000000000000000e+01,1.440000000000000401e-06,1.405793339531255697e+03,1.894629856088825837e-01,7.569435398779961969e-04,9.466613748490125546e-02,2.614212781599690332e-04,1.170504917787874237e-04,7.147354615963993352e-01
1.900000000000000000e+01,1.520000000000000482e-06,1.406160482042543663e+03,1.894237317972601864e-01,8.001218653566079773e-04,9.464408769846992253e-02,2.711128006404492320e-04,1.289481320376131693e-04,7.147319977062353002e-01
2.000000000000000000e+01,1.600000000000000563e-06,1.406531557666018671e+03,1.893841957361717676e-01,8.434317682311494400e-04,9.462198980785585523e-02,2.804322409199105958e-04,1.412836431954224284e-04,7.147286668036257895e-01
2.100000000000000000e+01,1.680000000000000644e-06,1.406906470297172518e+03,1.893443821680537709e-01,8.868750329677409184e-04,9.459984215475771008e-02,2.893957170766023237e-04,1.540417994070264669e-04,7.147254631277372150e-01
2.200000000000000000e+01,1.760000000000000725e-06,1.407285128367602965e+03,1.893042955859949028e-01,9.304534187455433709e-04,9.457764312575155097e-02,2.980186689834908825e-04,1.672080403890392156e-04,7.147223811601354226e-01
2.300000000000000000e+01,1.840000000000000806e-06,1.407667444656759926e+03,1.892639402438911211e-01,9.741686609882593264e-04,9.455539115015379470e-02,3.063158871670094356e-04,1.807684433268786674e-04,7.147194156144729416e-01
2.400000000000000000e+01,1.920000000000000675e-06,1.408053336112250236e+03,1.892233201661352449e-01,1.018022472833203951e-03,9.453308469797674918e-02,3.143015403634590683e-04,1.947096960529014556e-04,7.147165614266384193e-01
2.500000000000000000e+01,2.000000000000000757e-06,1.408442723677684853e+03,1.891824391568916464e-01,1.062016546544598036e-03,9.451072227796754321e-02,3.219892019130584401e-04,2.090190713589991530e-04,7.147138137453241669e-01
