Iteration,Time (s),Temperature,O2,H2O,CH4,CO,CO2,N2
1.000000000000000000e+00,8.000000000000000167e-08,1.601309135026511967e+03,1.899535474772340304e-01,1.993647280302774185e-04,9.495279272926368530e-02,9.592403741309623330e-05,3.758326601993473843e-06,7.147946127014570550e-01
2.000000000000000000e+00,1.600000000000000033e-07,1.602677936474716944e+03,1.897888219435359403e-01,4.003417903186798246e-04,9.484804932387178034e-02,1.854465915846484282e-04,1.472430357464270175e-05,7.147626160471143297e-01
3.000000000000000000e+00,2.400000000000000315e-07,1.604104001043701373e+03,1.896199976205941440e-01,6.030198707051341806e-04,9.474273683796909096e-02,2.690478893117662237e-04,3.246204604075174550e-05,7.147327357353792099e-01
4.000000000000000000e+00,3.200000000000000067e-07,1.605585115772712470e+03,1.894471677630596429e-01,8.074858502692605286e-04,9.463679068832439589e-02,3.471727728215858897e-04,5.657015231299509757e-05,7.147048127732121836e-01
5.000000000000000000e+00,3.999999999999999819e-07,1.607119275699920536e+03,1.892704139529324814e-01,1.013825107122919575e-03,9.453014858962449640e-02,4.202335473668300297e-04,8.667900619458042671e-05,7.146786997967586874e-01
6.000000000000000000e+00,4.799999999999999571e-07,1.608704669033372284e+03,1.890898068675156418e-01,1.222121795215026481e-03,9.442275029221278149e-02,4.886125661800817983e-04,1.224483314273821111e-04,7.146542601474490386e-01
7.000000000000000000e+00,5.599999999999999323e-07,1.610339663695886657e+03,1.889054069715914441e-01,1.432459105040028401e-03,9.431453733989408894e-02,5.526645836063688718e-04,1.635649689135962141e-04,7.146313670309544230e-01
8.000000000000000000e+00,6.399999999999999075e-07,1.612022795112584845e+03,1.887172651409848301e-01,1.644919508515574162e-03,9.420545284556604282e-02,6.127188997052577211e-04,2.097408545524802998e-04,7.146099027506757073e-01
9.000000000000000000e+00,7.199999999999998827e-07,1.613752755113570402e+03,1.885254232244610584e-01,1.859584990195799550e-03,9.409544128252450568e-02,6.690813188239403114e-04,2.607111762739101868e-04,7.145897580077208433e-01
1.000000000000000000e+01,7.999999999999998579e-07,1.615528381843953639e+03,1.883299145498098237e-01,2.076537266691872406e-03,9.398444828959982844e-02,7.220359412201985631e-04,3.162326921256882546e-04,7.145708312605525414e-01
1.100000000000000000e+01,8.799999999999998331e-07,1.617348650588409328e+03,1.881307643791205741e-01,2.295857995953077494e-03,9.387242048851712761e-02,7.718468041725912252e-04,3.760821938038982990e-04,7.145530281384326887e-01
1.200000000000000000e+01,9.599999999999999142e-07,1.619212665414622052e+03,1.879279903184092326e-01,2.517628978017131310e-03,9.375930531188031436e-02,8.187593892971295386e-04,4.400550997113870022e-04,7.145362609026847389e-01
1.300000000000000000e+01,1.039999999999999995e-06,1.621119651578802404e+03,1.877216026846918184e-01,2.741932348440957387e-03,9.364505084067001328e-02,8.630020067034811695e-04,5.079641675169486266e-04,7.145204479519768892e-01
1.400000000000000000e+01,1.120000000000000076e-06,1.623068948624369568e+03,1.875116048338758834e-01,2.968850765646094576e-03,9.352960565009686700e-02,9.047870673641407371e-04,5.796383154588580873e-04,7.145055133675580761e-01
1.500000000000000000e+01,1.200000000000000157e-06,1.625060004096827015e+03,1.872979934540577596e-01,3.198467593542978632e-03,9.341291866243026099e-02,9.443122583942856717e-04,6.549215383771557226e-04,7.144913864931975445e-01
